,Employment,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed,Age_>35,Accessibility_Yes,EdLevel_NoHigherEd,EdLevel_Other,EdLevel_PhD,EdLevel_Undergraduate,Gender_NonBinary,Gender_Woman,MentalHealth_Yes,MainBranch_NotDev,Employment_bin,YearsCode_bin,YearsCodePro_bin,PreviousSalary_bin,ComputerSkills_bin
employ1,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
employ2,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ3,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
employ4,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ5,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False
employ6,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
employ7,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True
employ8,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
employ9,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ10,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False
employ11,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True
employ12,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
employ13,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
employ14,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
employ15,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
employ16,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,False,True
employ17,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
employ18,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ19,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True
employ20,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True
employ21,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
employ22,True,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,False
employ23,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False
employ24,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ25,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
employ26,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ27,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True
employ28,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False
employ29,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False
employ30,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
employ31,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
employ32,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,False
employ33,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
employ34,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False
employ35,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True
employ36,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ37,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
employ38,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
employ39,False,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
employ40,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ41,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True
employ42,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
employ43,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ44,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ45,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
employ46,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
employ47,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
employ48,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
employ49,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
employ50,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
employ51,True,True,True,True,True,False,True,False,False,True,False,False,False,False,True,True,True,False,False,True,False
employ52,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
employ53,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
employ54,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True
employ55,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True
employ56,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
employ57,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
employ58,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
employ59,True,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
employ60,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ61,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
employ62,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False
employ63,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
employ64,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
employ65,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ66,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,True,True,True,False,True,True
employ67,False,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
employ68,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
employ69,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
employ70,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
employ71,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
